Designator,Mid X,Mid Y,Rotation,Layer
C1_8,72.167,-32.48,0.0,top
C1_7,72.167,1.27,0.0,top
C1_6,24.987,1.27,0.0,top
C1_5,48.577,1.27,0.0,top
C1_4,48.577,-32.48,0.0,top
C1_3,24.987,-32.48,0.0,top
C1_2,1.397,-32.48,0.0,top
C1,1.397,1.27,0.0,top
C2_8,72.167,-33.623,0.0,top
C2_7,24.987,-33.623,0.0,top
C2_6,24.987,0.127,0.0,top
C2_5,72.167,0.127,0.0,top
C2_4,48.577,0.127,0.0,top
C2_3,1.397,0.127,0.0,top
C2_2,48.577,-33.623,0.0,top
C2,1.397,-33.623,0.0,top
C3_8,24.987,4.699,0.0,top
C3_7,48.577,-29.051,0.0,top
C3_6,24.987,-29.051,0.0,top
C3_5,1.397,4.699,0.0,top
C3_4,1.397,-29.051,0.0,top
C3_3,72.167,4.699,0.0,top
C3_2,48.577,4.699,0.0,top
C3,72.167,-29.051,0.0,top
D1_8,45.783,-33.877,180.0,top
D1_7,69.373,-0.127,180.0,top
D1_6,22.193,-33.877,180.0,top
D1_5,45.783,-0.127,180.0,top
D1_4,-1.397,-0.127,180.0,top
D1_3,69.373,-33.877,180.0,top
D1_2,22.193,-0.127,180.0,top
D1,-1.397,-33.877,180.0,top
D2_8,69.373,-27.654,180.0,top
D2_7,22.193,-27.654,180.0,top
D2_6,69.373,6.096,180.0,top
D2_5,22.193,6.096,180.0,top
D2_4,45.783,6.096,180.0,top
D2_3,-1.397,-27.654,180.0,top
D2_2,45.783,-27.654,180.0,top
D2,-1.397,6.096,180.0,top
J1_8,-0.02,-47.72,270.0,top
J1_7,70.75,-13.97,270.0,top
J1_6,47.16,-47.72,270.0,top
J1_5,70.75,-47.72,270.0,top
J1_4,23.57,-13.97,270.0,top
J1_3,23.57,-47.72,270.0,top
J1_2,47.16,-13.97,270.0,top
J1,-0.02,-13.97,270.0,top
J2_8,61.88,-33.75,0.0,top
J2_7,38.29,0.0,0.0,top
J2_6,61.88,0.0,0.0,top
J2_5,14.7,0.0,0.0,top
J2_4,14.7,-33.75,0.0,top
J2_3,38.29,-33.75,0.0,top
J2_2,-8.89,-33.75,0.0,top
J2,-8.89,0.0,0.0,top
J3_8,79.66,0.0,0.0,top
J3_7,56.07,-33.75,0.0,top
J3_6,79.66,-33.75,0.0,top
J3_5,32.48,-33.75,0.0,top
J3_4,8.89,0.0,0.0,top
J3_3,56.07,0.0,0.0,top
J3_2,32.48,0.0,0.0,top
J3,8.89,-33.75,0.0,top
KIKIT_FID_B_1,-5.795,19.0255,0.0,bottom
KIKIT_FID_B_2,76.565,19.0255,0.0,bottom
KIKIT_FID_B_3,-5.795,-52.776,0.0,bottom
KIKIT_FID_T_1,-5.795,19.0255,0.0,top
KIKIT_FID_T_2,76.565,19.0255,0.0,top
KIKIT_FID_T_3,-5.795,-52.776,0.0,top
KIKIT_TO_1,-8.295,20.3755,0.0,top
KIKIT_TO_2,79.065,20.3755,0.0,top
KIKIT_TO_3,-8.295,-54.126,0.0,top
R1_8,22.193,1.27,180.0,top
R1_7,45.783,-32.48,180.0,top
R1_6,-1.397,-32.48,180.0,top
R1_5,22.193,-32.48,180.0,top
R1_4,45.783,1.27,180.0,top
R1_3,69.373,-32.48,180.0,top
R1_2,69.373,1.27,180.0,top
R1,-1.397,1.27,180.0,top
R2_8,69.373,4.699,180.0,top
R2_7,22.193,4.699,180.0,top
R2_6,45.783,-29.051,180.0,top
R2_5,-1.397,-29.051,180.0,top
R2_4,69.373,-29.051,180.0,top
R2_3,22.193,-29.051,180.0,top
R2_2,-1.397,4.699,180.0,top
R2,45.783,4.699,180.0,top
SW1_8,21.304,12.065,270.0,top
SW1_7,44.894,12.065,270.0,top
SW1_6,-2.286,12.065,270.0,top
SW1_5,44.894,-21.685,270.0,top
SW1_4,68.484,-21.685,270.0,top
SW1_3,68.484,12.065,270.0,top
SW1_2,21.304,-21.685,270.0,top
SW1,-2.286,-21.685,270.0,top
SW2_8,73.056,12.065,270.0,top
SW2_7,49.466,12.065,270.0,top
SW2_6,73.056,-21.685,270.0,top
SW2_5,2.286,12.065,270.0,top
SW2_4,2.286,-21.685,270.0,top
SW2_3,49.466,-21.685,270.0,top
SW2_2,25.876,-21.685,270.0,top
SW2,25.876,12.065,270.0,top
U1_8,47.18,-38.45,90.0,top
U1_7,23.59,-38.45,90.0,top
U1_6,70.77,-38.45,90.0,top
U1_5,70.77,-4.7,90.0,top
U1_4,23.59,-4.7,90.0,top
U1_3,47.18,-4.7,90.0,top
U1_2,0.0,-4.7,90.0,top
U1,0.0,-38.45,90.0,top
